Movie,['Director(s)'],['Cast']
Rocks,['Sarah Gavron'],"['Brie-Morgan Appleton', 'Islah Abdur-Rahman', 'Mohammad Amiri', 'Sharon D Clarke', 'Shola Adewusi', 'Afi Okaidja', 'Anastasia Dymitrow', 'Bukky Bakray', ""D'angelou Osei Kissiedu"", 'Kosar Ali', 'Layo-Christina Akinlude', 'Ruby Stokes', 'Sarah Niles', 'Shaneigha-Monik Greyson', 'Tawheda Begum']"
Snow White and the Seven Dwarfs,"['Ben Sharpsteen', 'David Hand', 'Larry Morey', 'Perce Pearce', 'Wilfred Jackson', 'William Cottrell']","['James MacDonald', 'Moroni Olsen', 'Purv Pullen', 'Scotty Mattraw', 'Adriana Caselotti', 'Billy Gilbert', 'Eddie Collins', 'Harry Stockwell', 'Lucille La Verne', 'Marion Darlington', 'Otis Harlan', 'Pinto Colvig', 'Roy Atwell', 'Stuart Buchanan']"
The Hurt Locker,['Kathryn Bigelow'],"['Barrie Rice', 'Christian Camargo', 'Christopher Sayegh', 'David Morse', 'Evangeline Lilly', 'Feisal Sadoun', 'Guy Pearce', 'Nabil Koni', 'Ralph Fiennes', 'Sam Redford', 'Sam Spruell', 'Suhail Aldabbach', 'Anthony Mackie', 'Brian Geraghty', 'Jeremy Renner']"
Anatomy of a Murder,['Otto Preminger'],"['Alexander Campbell', 'Brooks West', 'Howard McNear', 'John Qualen', 'Ken Lynch', ""Arthur O'Connell"", 'Ben Gazzara', 'Eve Arden', 'George C. Scott', 'James Stewart', 'Kathryn Grant', 'Lee Remick', 'Murray Hamilton', 'Orson Bean', 'Russ Brown']"
Zero Dark Thirty,['Kathryn Bigelow'],"['Alexander Karim', 'Ali Marhyar', 'Aymen Hamdouchi', 'Callan Mulvey', 'Fares Fares', 'Frank Grillo', 'Harold Perrineau', 'J.J. Kandel', 'James Gandolfini', 'Jason Clarke', 'Jennifer Ehle', 'Jeremy Strong', 'Jessica Collins', 'Kyle Chandler', 'Lee Asquith-Coe', 'Mark Duplass', 'Mark Valley', 'Mike Colter', 'Nabil Elouahabi', 'Nina Arianda', 'Parker Sawyers', 'Reda Kateb', 'Scott Adkins', 'Senem Temiz', 'Simon Abkarian', 'Stephen Dillane', 'Taylor Kinney', 'Wahab Sheikh', 'Chris Pratt', 'Édgar Ramírez', 'Jason Clarke', 'Jennifer Ehle', 'Jessica Chastain', 'Joel Edgerton', 'Mark Strong']"
Collective,['Alexander Nanau'],"['Catalin Tolontan', 'Mirela Neag', 'Razvan Lutac', 'Tedy Ursuleanu', 'Vlad Voiculescu']"
A Separation,['Asghar Farhadi'],"['Ali-Asghar Shahbazi', 'Babak Karimi', 'Hamid Dadju', 'Kimia Hosseini', 'Leila Hatami', ""Marila Zare'i"", 'Mohammad Ebrahimian', 'Mohammadhasan Asghari', 'Peyman Moaadi', 'Sahabanu Zolghadr', 'Sareh Bayat', 'Sarina Farhadi', 'Shahab Hosseini', 'Shirin Azimiyannezhad', 'Shirin Yazdanbakhsh', 'Leila Hatami', 'Peyman Moaadi', 'Sareh Bayat']"
WALL-E,['Andrew Stanton'],"['Bob Bergen', 'Donald Fullilove', 'Fred Willard', 'John Cygan', 'John Ratzenberger', 'Kathy Najimy', 'Lori Alan', 'MacInTalk', 'Paul Eiding', 'Pete Docter', 'Sigourney Weaver', 'Teddy Newton', 'Teresa Ganzel', 'Ben Burtt', 'Elissa Knight', 'Jeff Garlin']"
Carol,['Todd Haynes'],"['Amy Warner', 'Anita Farmer Bergman', 'Bella Garcia', 'Blanca Camacho', 'Carrie Brownstein', 'Cate Blanchett', 'Chandish Nester', 'Colin Botts', 'Cory Michael Smith', 'Dennis Hensley', 'Douglas Scott Sorenson', 'Giedre Bond', 'Jake Lacy', 'Jayne Houdyshell', 'Jim Dougherty', 'Jim Owens', 'John Magaro', 'Jorge Mardel', 'Ken Strunk', 'Kevin Crowley', 'Kk Heim', 'Kyle Chandler', 'Liberty Fraysure', 'Linnea Bond', 'Lizzy Leigh', 'Matthew Kallmeyer', 'Michael Haney', 'Michael Loos', 'Misty M. Jump', 'Nathaniel Grauwelman', 'Nik Pajic', 'Philip Krinsky', 'Rileigh McDonald', 'Robert Gerding', 'Rooney Mara', 'Ryan Wesley Gilreath', 'Sadie Heim', 'Sarah Paulson', 'Steven Andrews', 'Trent Rowland', 'William Willet', 'Zander Kaufer', 'Cate Blanchett', 'Cory Michael Smith', 'Jake Lacy', 'John Magaro', 'Kyle Chandler', 'Rooney Mara', 'Sarah Paulson']"
Before Midnight,['Richard Linklater'],"['Anouk Servera', 'Ariane Labed', 'Athina Rachel Tsangari', 'Charlotte Prior', 'Enrico Focardi', 'Ethan Hawke', 'Jennifer Prior', 'Julie Delpy', 'Manolis Goussias', 'Panos Koronis', 'Seamus Davey-Fitzpatrick', 'Serafeim Radis', 'Walter Lassally', 'Xenia Kalogeropoulou', 'Yannis Papadopoulos', 'Yiannis Papadopoulos', 'Yota Argyropoulou', 'Ariane Labed', 'Athina Rachel Tsangari', 'Ethan Hawke', 'Julie Delpy', 'Seamus Davey-Fitzpatrick', 'Walter Lassally', 'Xenia Kalogeropoulou']"
Amour,['Michael Haneke'],"['Alexandre Tharaud', 'Carole Franck', 'Damien Jouillerot', 'Dinara Drukarova', 'Jean-Michel Monroc', 'Laurent Capelluto', 'Ramón Agirre', 'Rita Blanco', 'Suzanne Schmidt', 'Walid Afkir', 'William Shimell', 'Emmanuelle Riva', 'Isabelle Huppert', 'Jean-Louis Trintignant']"
Dunkirk,['Christopher Nolan'],"['Adam Long', 'Aneurin Barnard', 'Barry Keoghan', 'Billy Howle', 'Bobby Lockwood', 'Bradley Hall', 'Brian Vernel', 'Charley Palmer Merkell', 'Cillian Murphy', 'Constantin Balsan', 'Damien Bonnard', 'Elliott Tittensor', 'Fionn Whitehead', 'Jack Gover', 'Jack Lowden', 'James Bloor', ""James D'Arcy"", 'Jochum ten Haaf', 'Kenneth Branagh', 'Kevin Guthrie', 'Lee Armstrong', 'Luke Thompson', 'Mark Rylance', 'Michael Fox', 'Michel Biel', 'Mikey Collins', 'Miranda Nolan', 'Paul Riley Fox', 'Richard Sanderson', 'Tom Glynn-Carney', 'Tom Hardy', 'Will Attenborough', 'Aneurin Barnard', 'Barry Keoghan', 'Damien Bonnard', 'Fionn Whitehead', 'Harry Styles', 'Jack Lowden', 'James Bloor', 'Lee Armstrong', 'Mark Rylance', 'Tom Glynn-Carney', 'Tom Hardy']"
The Man Who Shot Liberty Valance,['John Ford'],"['Carleton Young', 'Denver Pyle', 'Strother Martin', 'Willis Bouchey', 'Woody Strode', 'Andy Devine', ""Edmond O'Brien"", 'James Stewart', 'Jeanette Nolan', 'John Carradine', 'John Qualen', 'John Wayne', 'Ken Murray', 'Lee Marvin', 'Vera Miles']"
The Searchers,['John Ford'],"['Antonio Moreno', 'Beulah Archuletta', 'Dorothy Jordan', 'Hank Worden', 'Walter Coy', 'Harry Carey Jr.', 'Henry Brandon', 'Jeffrey Hunter', 'John Qualen', 'John Wayne', 'Ken Curtis', 'Natalie Wood', 'Olive Carey', 'Vera Miles', 'Ward Bond']"
45 Years,['Andrew Haigh'],"['Camille Ucan', 'Charles Booth', 'Charlotte Rampling', 'David Sibley', 'Dolly Wells', 'Geraldine James', 'Hannah Chalmers', 'Kevin Matadeen', 'Lucy Temple', 'Martin Atkinson', 'Max Rudd', 'Michelle Finch', 'Paul Goldsmith', 'Peter Dean Jackson', 'Rachel Banham', 'Richard Cunningham', 'Rufus Wright', 'Sam Alexander', 'Tom Courtenay', 'Charlotte Rampling', 'Tom Courtenay']"
Taxi Driver,['Martin Scorsese'],"['Albert Brooks', 'Brenda Dickson', 'Copper Cunningham', 'Diahnne Abbott', 'Frank Adu', 'Garth Avery', 'Gino Ardito', 'Harry Cohn', 'Harry Fischler', 'Harvey Keitel', 'Leonard Harris', 'Nat Grant', 'Peter Boyle', 'Victor Argo', 'Albert Brooks', 'Cybill Shepherd', 'Diahnne Abbott', 'Frank Adu', 'Garth Avery', 'Gino Ardito', 'Jodie Foster', 'Peter Boyle', 'Robert De Niro', 'Victor Argo']"
The Servant,['Joseph Losey'],"['Alun Owen', 'Ann Firbank', 'Brian Phelan', 'Catherine Lacey', 'Derek Tansley', 'Doris Knox', 'Harold Pinter', 'Hazel Terry', 'Jill Melford', 'Patrick Magee', 'Richard Vernon', 'Dirk Bogarde', 'James Fox', 'Sarah Miles', 'Wendy Craig']"
Pulp Fiction,['Quentin Tarantino'],"['Amanda Plummer', 'Duane Whitaker', 'Eric Stoltz', 'Frank Whaley', 'Maria de Medeiros', 'Paul Calderon', 'Peter Greene', 'Phil LaMarr', 'Rosanna Arquette', 'Tim Roth', 'Uma Thurman', 'Ving Rhames', 'Bruce Willis', 'John Travolta', 'Samuel L. Jackson']"
The Manchurian Candidate,['John Frankenheimer'],"['Albert Paulsen', 'Angela Lansbury', 'Barry Kelley', 'Douglas Henderson', 'Henry Silva', 'James Edwards', 'James Gregory', 'Janet Leigh', 'John McGiver', 'Khigh Dhiegh', 'Leslie Parrish', 'Lloyd Corrigan', 'Madame Spivy', 'Frank Sinatra', 'Laurence Harvey']"
Mr. Turner,['Mike Leigh'],"['Alice Orr-Ewing', 'Amy Dawson', 'Billy Holland', 'Dorothy Atkinson', 'Fenella Woolgar', 'Fred Pearson', 'James Fleet', 'James Norton', 'Jamie Thomas King', 'John Duggan', 'John Warman', 'Joshua McGuire', 'Julian Seager', 'Karl Johnson', 'Katherine Denkinson', 'Lasco Atkins', 'Lee Ingleby', 'Leo Bill', 'Lesley Manville', 'Marion Bailey', 'Mark Stanley', 'Mark Wingett', 'Martin Savage', 'Niall Buggy', 'Oliver Maltman', 'Paul Jesson', 'Peter Wight', 'Richard Bremmer', 'Richard Dixon', 'Robert Portal', 'Roger Ashton-Griffiths', 'Ruby Bentall', 'Ruth Sheen', 'Sandy Foster', 'Sinead Matthews', 'Stuart Matthews', 'Sylvestra Le Touzel', 'Timothy Spall', 'Tom Edden', 'Tom Wlaschiha', 'Amy Dawson', 'Dorothy Atkinson', 'Karl Johnson', 'Lesley Manville', 'Marion Bailey', 'Paul Jesson', 'Ruth Sheen', 'Sandy Foster', 'Timothy Spall']"
The Irishman,['Martin Scorsese'],"['Aleksa Palladino', 'Aly Mang', 'Dascha Polanco', 'Domenick Lombardozzi', 'Gary Basaraba', 'Harvey Keitel', 'India Ennenga', 'Jack Huston', 'Jake Hoffman', 'Jesse Plemons', 'Joseph Russo', 'Kathrine Narducci', 'Paul Ben-Victor', 'Paul Herman', 'Ray Romano', 'Sebastian Maniscalco', 'Sharon Pfeiffer', 'Stephanie Kurtzuba', 'Steve Van Zandt', 'Al Pacino', 'Aleksa Palladino', 'Anna Paquin', 'Bobby Cannavale', 'Dascha Polanco', 'Harvey Keitel', 'Jack Huston', 'Jake Hoffman', 'Jesse Plemons', 'Joe Pesci', 'Kathrine Narducci', 'Ray Romano', 'Robert De Niro', 'Sebastian Maniscalco', 'Stephanie Kurtzuba', 'Stephen Graham', 'Steve Van Zandt']"
Amazing Grace,"['Alan Elliott', 'Sydney Pollack']","['Alexander Hamilton', 'Aretha Franklin', 'Bernard Pretty Purdie', 'Bernard Purdie', 'C.L. Franklin', 'Charlie Watts', 'Chuck Rainey', 'Clara Ward', 'Mick Jagger', 'Reverand James Cleveland', 'Sydney Pollack']"
Grave of the Fireflies (1988),['Isao Takahata'],"['Adam Gibbs', 'Amy Jones', 'Crispin Freeman', 'Dan Green', 'Susan O. Koozin', 'Akemi Yamaguchi', 'Ayano Shiraishi', 'Justin Doran', 'Luci Christian', 'Marcy Bannor', 'Shannon Conley', 'Shelley Calene-Black', 'Tadashi Nakamura', 'Tsutomu Tatsumi', 'Yoshiko Shinohara']"
The Wild Child,['François Truffaut'],"['Eva Truffaut', 'Gitt Magrini', 'Jean-François Stévenin', 'Laura Truffaut', 'Robert Cambourakis', 'Annie Miller', 'Claude Miller', 'François Truffaut', 'Françoise Seigner', 'Jean Dasté', 'Jean Gruault', 'Jean-Pierre Cargol', 'Mathieu Schiffman', 'Nathan Miller', 'Paul Villé']"
Shadow of a Doubt,['Alfred Hitchcock'],"['Bill Bates', 'Clarence Muse', 'Estelle Jewell', 'Janet Shaw', 'Virginia Brissac', 'Charles Bates', 'Edna May Wonacott', 'Henry Travers', 'Hume Cronyn', 'Irving Bacon', 'Joseph Cotten', 'Macdonald Carey', 'Patricia Collinge', 'Teresa Wright', 'Wallace Ford']"
Inside Out,"['Pete Docter', 'Ronaldo Del Carmen']","['Amy Poehler', 'Bill Hader', 'Bob Bergen', 'Bobby Moynihan', 'Carlos Alazraqui', 'Danny Mann', 'Dave Goelz', 'Diane Lane', 'Flea', 'Frank Oz', 'Jess Harnell', 'John Cygan', 'John Ratzenberger', 'Josh Cooley', 'Kaitlyn Dias', 'Kyle MacLachlan', 'Laraine Newman', 'Lewis Black', 'Lori Alan', 'Mindy Kaling', 'Paris Van Dyke', 'Paula Pell', 'Paula Poundstone', 'Phyllis Smith', 'Rashida Jones', 'Richard Kind', 'Sherry Lynn', 'Teresa Ganzel', 'Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Phyllis Smith']"
Sideways,['Alexander Payne'],"['Alysia Reiner', 'Jessica Hecht', 'Joe Marinelli', 'M.C. Gainey', 'Marylouise Burke', 'Missy Doty', 'Patrick Gallagher', 'Robert Covarrubias', 'Shake Tukhmanyan', 'Shaun Duke', 'Stephanie Faracy', 'Paul Giamatti', 'Sandra Oh', 'Thomas Haden Church', 'Virginia Madsen']"
Schindler's List,['Steven Spielberg'],"['Andrzej Seweryn', 'Béatrice Macola', 'Ben Kingsley', 'Caroline Goodall', 'Embeth Davidtz', 'Friedrich von Thun', 'Harry Nehring', 'Jonathan Sagall', 'Krzysztof Luft', 'Malgoscha Gebel', 'Mark Ivanir', 'Norbert Weisser', 'Shmuel Levy', 'Liam Neeson', 'Ralph Fiennes']"
Meet Me in St. Louis,['Vincente Minnelli'],"['Chill Wills', 'Hugh Marlowe', 'Joan Carroll', 'Robert Sully', 'Sidney Barnes', 'Harry Davenport', 'Henry H. Daniels Jr.', 'Judy Garland', 'June Lockhart', 'Leon Ames', 'Lucille Bremer', ""Margaret O'Brien"", 'Marjorie Main', 'Mary Astor', 'Tom Drake']"
The Apartment,['Billy Wilder'],"['David White', 'Dorothy Abbott', 'Edie Adams', 'Joyce Jameson', 'Willard Waterman', 'David Lewis', 'Fred MacMurray', 'Hope Holiday', 'Jack Kruschen', 'Jack Lemmon', 'Joan Shawlee', 'Johnny Seven', 'Naomi Stevens', 'Ray Walston', 'Shirley MacLaine']"
Apocalypse Now,['Francis Ford Coppola'],"['Albert Hall', 'Bo Byers', 'Dennis Hopper', 'Frederic Forrest', 'G.D. Spradlin', 'Harrison Ford', 'James Keane', 'Jerry Ziesmer', 'Kerry Rossall', 'Laurence Fishburne', 'Robert Duvall', 'Sam Bottoms', 'Scott Glenn', 'Marlon Brando', 'Martin Sheen']"
Petite Maman,['Céline Sciamma'],"['Florès Cardo', 'Gabrielle Sanz', 'Guylène Péan', 'Josée Schuller', 'Joséphine Sanz', 'Margot Abascal', 'Nina Meurisse', 'Stéphane Varupenne']"
The Gunfighter,['Henry King'],"['Beulah Archuletta', 'C.E. Anderson', 'Carl Andre', 'Murray Alper', 'Victor Adamson', 'Anthony Ross', 'Ellen Corby', 'Gregory Peck', 'Helen Westcott', 'Jean Parker', 'Karl Malden', 'Millard Mitchell', 'Richard Jaeckel', 'Skip Homeier', 'Verna Felton']"
We Were Here,"['Bill Weber', 'David Weissman']","['Bobbi Campbell', 'Cleve Jones', 'Daniel Goldstein', 'Ed Wolf', 'Eileen Glutzer', 'Guy Clark', 'Guy Clark', 'Paul Boneberg']"
Faces Places,"['Agnès Varda', 'JR']","['Clemens Van Dungern', 'Laurent Levesque', 'Morgane Riou', 'Nathalie Maurouard', 'Nathalie Schleehauf', 'Patricia Mercier', 'Pony-Soleil-Air-Sauvage-Nature', 'Agnès Varda', 'Amaury Bossy', 'Claude Ferchal', 'Claude Flaert', 'J.R.', 'Jean-Luc Godard', 'Jean-Paul Beaujon', 'Jeannine Carpentier', 'JR', 'Laurent Levesque', 'Marie Douvet', 'Vincent Gils', 'Yves Boulen']"
Chimes at Midnight,['Orson Welles'],"['Alan Webb', 'Fernando Rey', 'Jeremy Rowe', 'Keith Baxter', 'Keith Pyott', 'Andrés Mejuto', 'Jeanne Moreau', 'John Gielgud', 'Julio Peña', 'Margaret Rutherford', 'Marina Vlady', 'Michael Aldridge', 'Orson Welles', 'Tony Beckley', 'Walter Chiari']"
The Lord of the Rings: The Return of the King,['Peter Jackson'],"['Alexandra Astin', 'Alistair Browning', 'Bernard Hill', 'Billy Boyd', 'Cate Blanchett', 'David Aston', 'Ian McKellen', 'Jason Fitch', 'John Bach', 'Marton Csokas', 'Noel Appleby', 'Orlando Bloom', 'Richard Edge', 'Sadwyn Brophy', 'Sean Astin', 'Sean Bean', 'Andy Serkis', 'Orlando Bloom']"
Carlos,['Olivier Assayas'],"['Ahmad Kaabour', 'Alejandro Arroyo', 'Alexander Scheer', 'Aljoscha Stadelmann', 'Antoine Balabane', 'Christoph Bach', 'Édgar Ramírez', 'Fadi Abi Samra', 'Fadi Yanni Turk', 'Juana Acosta', 'Julia Hummer', 'Karam Ghossein', 'Lamia Ahmed', 'Liane Sellerer', 'Nora von Waldstätten', 'Philippe Tran', 'Rami Farah', 'Rodney El Haddad', 'Talal El-Jordi', 'Zeid Hamdan']"
Marriage Story,['Noah Baumbach'],"['Albert Jones', 'Annie Hamilton', 'Ayden Mayeri', 'Azhy Robertson', 'Brooke Bloom', 'Jasmine Cephas Jones', 'Julie Hagerty', 'Kyle Bornheimer', ""Mark O'Brien"", 'Martha Kelly', 'Mary Hollis Inboden', 'Mary Wiseman', 'Matthew Maher', 'Mickey Sumner', 'Motell Gyn Foster', 'Pete Simpson', 'Raymond J. Lee', 'Robert Smigel', 'Adam Driver', 'Alan Alda', 'Albert Jones', 'Ayden Mayeri', 'Azhy Robertson', 'Brooke Bloom', 'David Turner', 'Eric Berryman', 'Gideon Glick', 'Julia Greer', 'Julie Hagerty', 'Kyle Bornheimer', 'Laura Dern', ""Mark O'Brien"", 'Mary Hollis Inboden', 'Matthew Maher', 'Merritt Wever', 'Mickey Sumner', 'Ray Liotta', 'Robert Smigel', 'Scarlett Johansson', 'Wallace Shawn']"
The French Connection,['William Friedkin'],"['André Ernotte', 'Ann Rebbot', 'Arlene Farber', 'Benny Marino', 'Bill Hickman', 'Eddie Egan', 'Fernando Rey', 'Frédéric de Pasquale', 'Harold Gary', 'Marcel Bozzuffi', 'Patrick McDermott', 'Sonny Grosso', 'Tony Lo Bianco', 'Ann Rebbot', 'Arlene Farber', 'Bill Hickman', 'Fernando Rey', 'Frédéric de Pasquale', 'Gene Hackman', 'Harold Gary', 'Marcel Bozzuffi', 'Roy Scheider', 'Tony Lo Bianco']"
La La Land,['Damien Chazelle'],"['Amanda Fields', 'Amiée Conn', 'Ana Flavia Gavlak', 'Andres Perez-Molina', 'Ashley Caple', 'Callie Hernandez', 'Cameron Brinkman', 'Candice Coke', 'Christopher Aber', 'Cinda Adams', 'Claudine Claudio', 'D.A. Wallach', 'Emma Stone', 'Finn Wittrock', 'Hemky Madera', 'J.K. Simmons', 'Jason Fuchs', 'Jessica Rothe', 'John Legend', 'Jordan Ray Fox', 'Josh Pence', 'Kaye L. Morris', 'Kc Monnie', 'Kiff VandenHeuvel', 'Kristin Slaysman', 'Margaret Newborn', 'Meagen Fay', 'Miles Anderson', 'Morgan Larson', 'Nilla Watkins', 'Phillip E. Walker', 'Rosemarie DeWitt', 'Ryan Gosling', 'Sandra Rosko', 'Shannon Klein', 'Shannon Leann', 'Sonoya Mizuno', 'Terry Walters', 'Thom Shelton', 'Tom Everett Scott', 'Trevor Lissauer', 'Zoë Hall', 'Emma Stone', 'J.K. Simmons', 'Rosemarie DeWitt', 'Ryan Gosling']"
"Crouching Tiger, Hidden Dragon",['Ang Lee'],"['Chen Chang', 'De Ming Wang', 'Fa Zeng Li', 'Jin Ting Zhang', 'Kai Li', 'Li Li', 'Pei-pei Cheng', 'Rei Yang', 'Sihung Lung', 'Su Ying Huang', 'Xian Gao', 'Yan Hai', 'Michelle Yeoh', 'Yun-Fat Chow', 'Ziyi Zhang']"
Nomadland,['Chloé Zhao'],"['Annette Webb', 'Annette Wells', 'Bob Wells', 'Brandy Wilber', 'Karie Lynn McDermott Wilder', 'Makenzie Etcheverry', 'Rachel Bannon', 'Angela Reyes', 'Bob Wells', 'Carl R. Hughes', 'David Strathairn', 'Douglas G. Soul', 'Frances McDormand', 'Gay DeForest', 'Karie Lynn McDermott Wilder', 'Linda May', 'Patricia Grier', 'Ryan Aquino', 'Swankie', 'Teresa Buchanan']"
Call Me by Your Name,['Luca Guadagnino'],"['Amira Casar', 'Andre Aciman', 'Antonio Rimoldi', 'Armie Hammer', 'Elena Bucci', 'Esther Garrel', 'Marco Sgrosso', 'Michael Stuhlbarg', 'Peter Spears', 'Timothée Chalamet', 'Vanda Capriolo', 'Victoire Du Bois', 'Xhuliano Ujka', 'Amira Casar', 'Antonio Rimoldi', 'Armie Hammer', 'Elena Bucci', 'Esther Garrel', 'Marco Sgrosso', 'Michael Stuhlbarg', 'Timothée Chalamet', 'Vanda Capriolo', 'Victoire Du Bois']"
The Magnificent Ambersons,"['Fred Fleck', 'Orson Welles', 'Robert Wise']","['Georgia Backus', 'Harry A. Bailey', 'Jack Baxley', 'Olive Ball', 'William Blees', 'Agnes Moorehead', 'Anne Baxter', 'Dolores Costello', 'Edwin August', 'Erskine Sanford', 'Joseph Cotten', 'Orson Welles', 'Ray Collins', 'Richard Bennett', 'Tim Holt']"
Reversal of Fortune,['Barbet Schroeder'],"['Alan Pottinger', 'Annabella Sciorra', 'Christine Baranski', 'Christine Dunford', 'Felicity Huffman', 'Fisher Stevens', 'Jack Gilpin', 'Johann Carlo', 'Keith Reddin', 'Mano Singh', 'Ron Silver', 'Stephen Mailer', 'Uta Hagen', 'Glenn Close', 'Jeremy Irons']"
David Byrne’s American Utopia,['Spike Lee'],['David Byrne']
Lady Bird,['Greta Gerwig'],"['Andy Buckley', 'Bayne Gibby', 'Beanie Feldstein', 'Christina Offley', 'Daniel Zovatto', 'Danielle Macdonald', 'Jake McDorman', 'John Karna', 'Jordan Rodrigues', 'Kathryn Newton', 'Kristen Cloke', 'Laura Marano', 'Lois Smith', 'Lucas Hedges', 'Marielle Scott', 'Stephen Henderson', 'Tracy Letts', 'Andy Buckley', 'Beanie Feldstein', 'Danielle Macdonald', 'Jake McDorman', 'Jordan Rodrigues', 'Kathryn Newton', 'Kristen Cloke', 'Laura Marano', 'Laurie Metcalf', 'Lois Smith', 'Lucas Hedges', 'Odeya Rush', 'Saoirse Ronan', 'Stephen Henderson', 'Timothée Chalamet', 'Tracy Letts']"
Shoplifters,['Hirokazu Koreeda'],"['Aju Makita', 'Akira Emoto', 'Chizuru Ikewaki', 'Hajime Inoue', 'Izumi Matsuoka', 'Jyo Kairi', 'Katsuya Maiguma', 'Kazuaki Shimizu', 'Kengo Kôra', 'Miyu Sasaki', 'Naoto Ogata', 'Yôko Moriguchi', 'Yûki Yamada', 'Akira Emoto', 'Chizuru Ikewaki', 'Daisuke Kuroda', 'Jyo Kairi', 'Kazuaki Shimizu', 'Kengo Kôra', 'Kirin Kiki', 'Lily Franky', 'Mayu Matsuoka', 'Miyu Sasaki', 'Moemi Katayama', 'Sakura Andô', 'Sôsuke Ikematsu', 'Yôko Moriguchi', 'Yûki Yamada']"
Shoah: Four Sisters,['Claude Lanzmann'],"['Ada Lichtman', 'Claude Lanzmann', 'Hanna Marton', 'Paula Biren', 'Ruth Elias']"
The 39 Steps,['Alfred Hitchcock'],"['Charles Bennett', 'Ivor Barnard', 'Jerry Verno', 'Noel Birkin', 'Peggy Simpson', 'Frank Cellier', 'Godfrey Tearle', 'Gus McNaughton', 'Helen Haye', 'John Laurie', 'Lucie Mannheim', 'Madeleine Carroll', 'Peggy Ashcroft', 'Robert Donat', 'Wylie Watson']"
Duck Soup,['Leo McCarey'],"['Charles Middleton', 'Edgar Kennedy', 'Edward Arnold', 'Sidney Bracey', 'Wade Boteler', 'Chico Marx', 'Edmund Breese', 'Groucho Marx', 'Harpo Marx', 'Leonid Kinskey', 'Louis Calhern', 'Margaret Dumont', 'Raquel Torres', 'The Marx Brothers', 'Zeppo Marx']"
Days of Heaven,['Terrence Malick'],"['Bob Wilson', 'Doug Kershaw', 'Frenchie Lemond', 'Gene Bell', 'Jackie Shultis', 'Linda Manz', 'Muriel Jolliffe', 'Richard Libertini', 'Robert J. Wilke', 'Sahbra Markus', 'Sam Shepard', 'Stuart Margolin', 'Timothy Scott', 'Brooke Adams', 'Richard Gere']"
Toni Erdmann,['Maren Ade'],"['Alexandru Papadopol', 'Anna Maria Bergold', 'Hadewych Minis', 'Ingrid Bisu', 'Ingrid Burkhard', 'Ioan Brancu', 'Jürg Löw', 'Lucy Russell', 'Manuela Ciucur', 'Michael Wittenborn', 'Nicolas Wackerbarth', 'Niels Bormann', 'Peter Simonischek', 'Radu Banzaru', 'Ruth Reinecke', 'Sandra Hüller', 'Thomas Loibl', 'Trystan Pütter', 'Victoria Cocias', 'Victoria Malektorovych', 'Vlad Ivanov', 'Peter Simonischek', 'Sandra Hüller']"
Yi Yi,['Edward Yang'],"['Adriene Lin', 'An-an Hsu', 'Chuan-cheng Tao', 'Elaine Jin', 'Hsi-Sheng Chen', 'Hsin-Yi Tseng', 'Issei Ogata', 'Jonathan Chang', 'Kelly Lee', 'Pang Chang Yu', 'Ru-Yun Tang', 'Shu-shen Hsiao', 'Shu-Yuan Hsu', 'Su-Yun Ko', 'Yiwen Chen', 'Yung-Feng Lee', 'Nien-Jen Wu']"
McCabe & Mrs. Miller,['Robert Altman'],"['Antony Holland', 'Hugh Millais', 'Jace Van Der Veen', 'Jackie Crossland', 'Manfred Schulz', 'Bert Remsen', 'Corey Fischer', 'John Schuck', 'Julie Christie', 'Keith Carradine', 'Michael Murphy', 'René Auberjonois', 'Shelley Duvall', 'Warren Beatty', 'William Devane']"
The Best Years of Our Lives,['William Wyler'],"['Dorothy Adams', 'Minna Gombell', 'Ray Collins', 'Steve Cochran', 'Walter Baldwin', ""Cathy O'Donnell"", 'Dana Andrews', 'Fredric March', 'Gladys George', 'Harold Russell', 'Hoagy Carmichael', 'Myrna Loy', 'Roman Bohnen', 'Teresa Wright', 'Virginia Mayo']"
Stagecoach,['John Ford'],"['Chief John Big Tree', 'Dorothy Appleby', 'Frank Baker', 'Ted Billings', 'Tom Tyler', 'Andy Devine', 'Berton Churchill', 'Claire Trevor', 'Donald Meek', 'George Bancroft', 'John Carradine', 'John Wayne', 'Louise Platt', 'Thomas Mitchell', 'Tim Holt']"
Inside Llewyn Davis,"['Ethan Coen', 'Joel Coen']","['Adam Driver', 'Alex Karpovsky', 'Antonio E. Moreno', 'Bradley Mott', 'Carey Mulligan', 'Ethan Phillips', 'F. Murray Abraham', 'Frank Ridley', 'Garrett Hedlund', 'Genevieve Adams', 'Helen Hong', 'Jake Ryan', 'James Colby', 'Jeanine Serralles', 'Jerry Grayson', 'Joel Brody', 'John Goodman', 'Justin Timberlake', 'Max Casella', 'Mike Houston', 'Oscar Isaac', 'Ricardo Cordero', 'Robin Bartlett', 'Stark Sands', 'Carey Mulligan', 'Garrett Hedlund', 'John Goodman', 'Justin Timberlake', 'Oscar Isaac']"
Sherpa,['Jennifer Peedom'],[]
